City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,saint-pierre,-21.3393,55.4781,26.82,61,75,2.57,RE,1696249304
290,port douglas,-16.4833,145.4667,23.11,85,26,4.41,AU,1696249304
291,saguing,6.9803,125.0781,24.32,88,100,0.97,PH,1696249305
292,kayenta,36.7278,-110.2546,11.81,61,43,8.68,US,1696249305
293,thunder bay,48.4001,-89.3168,13.95,100,75,1.03,CA,1696249192
294,el calafate,-50.3408,-72.2768,2.28,69,100,1.84,AR,1696249306
295,martapura,-3.4167,114.85,28.05,69,82,2.06,ID,1696249306
296,arraial do cabo,-22.9661,-42.0278,21.98,88,75,3.09,BR,1696249306
297,cole harbour,44.6724,-63.4751,15.4,88,0,6.17,CA,1696249307
298,queenstown,-31.8976,26.8753,27.68,12,0,5.5,ZA,1696249307
299,campo gallo,-26.5833,-62.85,21.55,40,2,5.55,AR,1696249307
300,vangaindrano,-23.35,47.6,24.79,72,24,7.4,MG,1696249308
301,kota belud,6.351,116.4305,26.82,83,99,2.59,MY,1696249308
302,ventspils,57.3894,21.5606,16.96,77,20,5.66,LV,1696249309
303,manaure,11.7751,-72.4445,27.94,79,97,0.83,CO,1696249309
304,cam ranh,11.9214,109.1591,26.98,89,40,0.51,VN,1696249156
305,melito di porto salvo,37.9222,15.7714,27.94,44,8,6.17,IT,1696249310
306,plastun,44.7561,136.2939,13.94,57,17,6.26,RU,1696249310
307,kingston,17.997,-76.7936,28.53,82,20,1.03,JM,1696249070
308,happy valley-goose bay,53.3168,-60.3315,10.17,71,75,6.69,CA,1696249311
309,tofol,5.3248,163.0078,28.86,70,79,0.24,FM,1696249311
310,tura,25.5198,90.2201,24.43,95,56,1.28,IN,1696249311
311,salekhard,66.53,66.6019,12.25,78,99,6.26,RU,1696249312
312,sturgeon bay,44.8342,-87.377,18.22,82,0,3.09,US,1696249312
313,ziro,27.6333,93.8333,19.41,96,77,0.21,IN,1696249312
314,morehead,37.2711,-87.1764,16.11,99,100,0.0,US,1696249147
315,godda,24.8333,87.2167,27.6,86,51,3.14,IN,1696249313
316,yaren,-0.5472,166.916,28.68,78,9,4.85,NR,1696249313
317,acarau,-2.8856,-40.12,28.75,65,98,6.99,BR,1696249314
318,namagiripettai,11.4667,78.2667,30.93,62,56,1.77,IN,1696249314
319,ankazoabo,-22.2833,44.5167,31.78,30,5,6.27,MG,1696249314
320,konarka,19.9,86.1167,27.22,87,100,5.44,IN,1696249315
321,cambria,35.5641,-121.0808,12.57,89,7,1.55,US,1696249315
322,elumalai,9.8667,77.7,32.5,52,76,4.04,IN,1696249315
323,weihai,37.5017,122.1136,19.54,56,100,2.79,CN,1696249316
324,rethymno,35.3647,24.4714,27.33,56,2,9.17,GR,1696249316
325,leongatha,-38.4833,145.95,15.38,51,16,1.63,AU,1696249316
326,midvagur,62.0511,-7.1939,11.46,87,100,5.66,FO,1696249317
327,vazante,-17.9869,-46.9078,22.13,86,100,1.86,BR,1696249317
328,newman,37.3138,-121.0208,13.36,81,4,1.09,US,1696249317
329,vernon,50.2581,-119.2691,9.05,82,100,4.12,CA,1696249170
330,lazaro cardenas,17.9583,-102.2,26.49,88,92,1.76,MX,1696249318
331,cargados carajos,17.9583,-102.2,26.49,88,92,1.76,MX,1696249318
332,itoman,26.1247,127.6694,28.43,86,40,9.26,JP,1696249319
333,kailua-kona,19.6406,-155.9956,25.28,83,0,2.06,US,1696249319
334,port lincoln,-34.7333,135.8667,15.82,83,59,8.89,AU,1696249319
335,tolanaro,-25.0319,46.9987,19.04,88,75,6.17,MG,1696249320
336,mariehamn,60.0973,19.9348,12.92,94,100,6.17,AX,1696249320
337,geraldton,-28.7667,114.6,16.23,55,100,4.63,AU,1696249155
338,oban,56.4127,-5.4706,14.1,77,75,7.2,GB,1696249321
339,bereeda,11.8704,51.0579,30.02,64,29,4.06,SO,1696249321
340,namdrik,5.5994,168.1028,29.15,71,7,1.82,MH,1696249321
341,milledgeville,33.0801,-83.2321,16.94,95,0,2.02,US,1696249322
342,groningen,53.25,6.75,22.81,80,100,4.63,NL,1696249165
343,ola,59.5833,151.2833,9.67,75,59,3.43,RU,1696249322
344,lichuan,30.3,108.85,15.97,99,100,0.97,CN,1696249323
345,diok'nisi,41.6293,42.3917,14.51,94,99,1.36,GE,1696249323
346,ust-tsilma,65.441,52.1498,7.56,89,100,6.71,RU,1696249158
347,nkhotakota,-12.9274,34.2961,31.61,37,5,4.18,MW,1696249324
348,khanpur mahar,27.8436,69.4137,38.54,7,0,2.81,PK,1696249324
349,lisala,2.15,21.5167,36.76,36,65,0.28,CD,1696249324
350,selkirk,50.1436,-96.8845,16.2,97,100,1.79,CA,1696249208
351,fort mcmurray,56.7268,-111.381,7.77,81,100,3.6,CA,1696249325
352,xianyang,34.3378,108.7026,14.58,88,0,1.0,CN,1696249325
353,eyl,7.9803,49.8164,30.41,65,24,11.74,SO,1696249326
354,lompoc,34.6391,-120.4579,12.18,87,75,3.58,US,1696249326
355,male,4.1748,73.5089,29.97,74,75,3.6,MV,1696249166
356,mauldin,34.7787,-82.3101,17.03,93,0,0.0,US,1696249327
357,sinabang,2.4803,96.3801,26.74,80,97,5.8,ID,1696249327
